Instance,Algorithm,Representation,Residue,Time
36,Repeated Random,standard,50332171,2.151763439178467
36,Hill Climbing,standard,411478677,0.44600415229797363
36,Simulated Annealing,standard,763373633,0.4591658115386963
36,Repeated Random,prepartition,39,4.745290040969849
36,Hill Climbing,prepartition,2753,2.2646424770355225
36,Simulated Annealing,prepartition,23,2.320519208908081
37,Karmarkar-Karp,Karmarkar-Karp,1090609,0.0
37,Repeated Random,standard,263799537,2.1542770862579346
37,Hill Climbing,standard,97223221,0.42530035972595215
37,Simulated Annealing,standard,307661487,0.4596107006072998
37,Repeated Random,prepartition,23,4.778033256530762
37,Hill Climbing,prepartition,997,2.274906635284424
37,Simulated Annealing,prepartition,121,2.3951051235198975
38,Karmarkar-Karp,Karmarkar-Karp,42148,0.0
38,Repeated Random,standard,194261642,2.217557668685913
38,Hill Climbing,standard,105484506,0.42241334915161133
38,Simulated Annealing,standard,24774598,0.46689891815185547
38,Repeated Random,prepartition,4,4.870909929275513
38,Hill Climbing,prepartition,82,2.151010513305664
38,Simulated Annealing,prepartition,90,2.33866810798645
39,Karmarkar-Karp,Karmarkar-Karp,320462,0.0
39,Repeated Random,standard,1079868480,2.1559972763061523
39,Hill Climbing,standard,538208990,0.4446120262145996
39,Simulated Annealing,standard,114289858,0.46531033515930176
39,Repeated Random,prepartition,22,4.797686338424683
39,Hill Climbing,prepartition,240,2.2938990592956543
39,Simulated Annealing,prepartition,280,2.3415701389312744
40,Karmarkar-Karp,Karmarkar-Karp,89433,0.0
40,Repeated Random,standard,372289641,2.1992695331573486
40,Hill Climbing,standard,826524469,0.4643564224243164
40,Simulated Annealing,standard,218050365,0.45935893058776855
40,Repeated Random,prepartition,333,4.766786813735962
40,Hill Climbing,prepartition,2755,2.300222635269165
40,Simulated Annealing,prepartition,21,2.368100643157959
41,Karmarkar-Karp,Karmarkar-Karp,250316,0.0
41,Repeated Random,standard,806623520,2.147582769393921
41,Hill Climbing,standard,154296708,0.4412972927093506
41,Simulated Annealing,standard,305833566,0.4521799087524414
41,Repeated Random,prepartition,126,4.731644153594971
41,Hill Climbing,prepartition,836,2.4474339485168457
41,Simulated Annealing,prepartition,382,2.369004249572754
42,Karmarkar-Karp,Karmarkar-Karp,209129,0.0
42,Repeated Random,standard,71960885,2.1503870487213135
42,Hill Climbing,standard,374140797,0.4240560531616211
42,Simulated Annealing,standard,135946639,0.4547898769378662
42,Repeated Random,prepartition,71,4.727396726608276
42,Hill Climbing,prepartition,1165,2.2493832111358643
42,Simulated Annealing,prepartition,113,2.2728214263916016
43,Karmarkar-Karp,Karmarkar-Karp,756931,0.0
43,Repeated Random,standard,86075661,2.241034507751465
43,Hill Climbing,standard,55914739,0.4362211227416992
43,Simulated Annealing,standard,6693853,0.4704916477203369
43,Repeated Random,prepartition,307,5.108254432678223
43,Hill Climbing,prepartition,1,2.4399616718292236
43,Simulated Annealing,prepartition,65,2.336315393447876
44,Karmarkar-Karp,Karmarkar-Karp,196100,0.0
44,Repeated Random,standard,3903006,2.133258819580078
